location,county,species,weekStart,weekEnd,lat,lng
Convict Lake,Mono,Trout,2024/07/14,2024/07/20,37.589305,-118.858276
Lake Sabrina,Inyo,Trout,2024/07/14,2024/07/20,37.205905,-118.618998
Carrville Pond,Trinity,Trout,2024/07/14,2024/07/20,41.05302,-122.701172
Independence Creek,Inyo,Trout,2024/07/14,2024/07/20,36.8096580505371,-118.19972992
Trumbull Lake,Mono,Trout,2024/07/14,2024/07/20,38.053397,-119.257871
Tuolumne River Middle Fork,Tuolumne,Trout,2024/07/14,2024/07/20,37.8286743164062,-120.00343323
Lyons Canal (Columbia Ditch),Tuolumne,Trout,2024/07/14,2024/07/20,38.0534973144531,-120.24224091
Blue Lake Upper,Alpine,Trout,2024/07/14,2024/07/20,38.631969,-119.949026
Kangaroo Lake,Siskiyou,Trout,2024/07/14,2024/07/20,41.334144,-122.634875
Cold Springs Lake,Modoc,Trout,2024/07/14,2024/07/20,41.201773,-120.148831
Stanislaus River South Fork,Tuolumne,Trout,2024/07/14,2024/07/20,38.1700973510742,-120.06674957
McCloud Reservoir,Shasta,Trout,2024/07/14,2024/07/20,41.1541548029759,-122.07967978
Pinecrest Lake,Tuolumne,Trout,2024/07/14,2024/07/20,38.196056,-119.982335
"Feather River North Fork, Almanor",Plumas,Trout,2024/07/14,2024/07/20,40.3119354248047,-121.2390976
"Clear Creek, above Whiskeytown Lake",Shasta,Trout,2024/07/14,2024/07/20,40.6681175231934,-122.6341095
Susan River Upper,Lassen,Trout,2024/07/14,2024/07/20,40.4127731323242,-120.8620224
Burney Creek Middle,Shasta,Trout,2024/07/14,2024/07/20,40.8777160644531,-121.67034912
Trinity River East Fork,Trinity,Trout,2024/07/14,2024/07/20,41.019962310791,-122.6096344
Coffee Creek,Trinity,Trout,2024/07/14,2024/07/20,41.0841445922852,-122.71015167
Stanislaus River North Fork,"Calaveras, Tuolumne",Trout,2024/07/14,2024/07/20,38.2758712768555,-120.26264954
Freshwater Lagoon,Humboldt,Trout,2024/07/14,2024/07/20,41.267982,-124.092799
"Owens River, Section 3",Mono,Trout,2024/07/14,2024/07/20,37.6800498962402,-118.75685883
North Battle Creek Reservoir,Shasta,Trout,2024/07/14,2024/07/20,40.602841,-121.651406
Big Bear Lake,San Bernardino,Trout,2024/07/14,2024/07/20,34.253115,-116.92764
Virginia Lake Lower,Mono,Trout,2024/07/14,2024/07/20,38.046828,-119.265125
Burney Creek Lower,Shasta,Trout,2024/07/14,2024/07/20,41.0080795288086,-121.64898682
Caples Lake,Alpine,Trout,2024/07/14,2024/07/20,38.698707,-120.045397
Medicine Lake,Siskiyou,Trout,2024/07/14,2024/07/20,41.582274,-121.599526
Bishop Creek Lower,Inyo,Trout,2024/07/14,2024/07/20,37.3688125610352,-118.40048218
Sacramento River,Shasta,Trout,2024/07/14,2024/07/20,41.1420097351074,-122.31331635
Iron Canyon Reservoir,Shasta,Trout,2024/07/14,2024/07/20,41.050043,-121.983054
Snake Lake,Modoc,Trout,2024/07/14,2024/07/20,41.361915,-120.244952
Angels Creek,Calaveras,Trout,2024/07/14,2024/07/20,38.0784759521484,-120.53005981
Montgomery Creek,Shasta,Trout,2024/07/14,2024/07/20,40.8412551879883,-121.92017365
"McCloud River, Fowlers, Lower Falls",Siskiyou,Trout,2024/07/14,2024/07/20,41.243953704834,-122.02196503
Tinnemaha Creek,Inyo,Trout,2024/07/14,2024/07/20,37.0497207641602,-118.27203369
Deer Creek,Tehama,Trout,2024/07/14,2024/07/20,40.234245300293,-121.45935059
Beaver Creek,Tuolumne,Trout,2024/07/14,2024/07/20,38.2536468505859,-120.25720978
Crowley Lake,Mono,Trout,2024/07/14,2024/07/20,37.611116,-118.741281
"Merced River, Section ll",Mariposa,Trout,2024/07/14,2024/07/20,37.6609535217285,-119.85366821
Gull Lake,Mono,Trout,2024/07/14,2024/07/20,37.775614,-119.083277
Hat Creek Upper,Shasta,Trout,2024/07/14,2024/07/20,40.762264251709,-121.4983139
Sacramento River,Siskiyou,Trout,2024/07/14,2024/07/20,41.1879806518555,-122.28471375
Goodrich Creek Lower,Lassen,Trout,2024/07/14,2024/07/20,40.3296165466309,-120.9311676
"Owens River, Section 2",Inyo,Trout,2024/07/14,2024/07/20,37.1855621337891,-118.26623535
"Owens River, below Tinnemaha",Inyo,Trout,2024/07/14,2024/07/20,37.0494766235352,-118.22177887
Battle Creek South Fork,Tehama,Trout,2024/07/14,2024/07/20,40.3511352539062,-121.66055298
Bullseye Lake,Siskiyou,Trout,2024/07/14,2024/07/20,41.555196,-121.575093
Powerhouse Stream,Tuolumne,Trout,2024/07/14,2024/07/20,38.0311470031738,-120.32733154
Green Valley Lake,San Bernardino,Trout,2024/07/14,2024/07/20,34.238207,-117.0808
White Pines Lake,Calaveras,Trout,2024/07/14,2024/07/20,38.268658,-120.341612
Pine Creek Basin Lake #1,Modoc,Trout,2024/07/14,2024/07/20,41.360704,-120.269704
Rock Creek Lake,Inyo,Trout,2024/07/14,2024/07/20,37.452491,-118.737183
Stanislaus River Middle Fork,Tuolumne,Trout,2024/07/14,2024/07/20,38.3434562683105,-119.83426666
Baum Lake,Shasta,Trout,2024/07/14,2024/07/20,40.938845,-121.544996
Hat Creek Middle,Shasta,Trout,2024/07/14,2024/07/20,40.9227409362793,-121.54640198
Tuolumne River South Fork,Tuolumne,Trout,2024/07/14,2024/07/20,37.8115272521973,-119.9440918
Grant Lake,Mono,Trout,2024/07/14,2024/07/20,37.839939,-119.111529
Herring Creek,Tuolumne,Trout,2024/07/14,2024/07/20,38.2234497070312,-119.95430756
"Trinity River, above Clair Engle Lake",Trinity,Trout,2024/07/14,2024/07/20,41.1257400512695,-122.69898987
North Lake,Inyo,Trout,2024/07/14,2024/07/20,37.231483,-118.613827
Silver Lake,Amador,Trout,2024/07/14,2024/07/20,38.658382,-120.118749
Virginia Lake Upper,Mono,Trout,2024/07/14,2024/07/20,38.04705,-119.259049
Lone Pine Creek,Inyo,Trout,2024/07/14,2024/07/20,36.5959739685059,-118.0977478
Susan River Lower,Lassen,Trout,2024/07/14,2024/07/20,40.4125137329102,-120.64638519
Pine Creek Basin Lake #2,Modoc,Trout,2024/07/14,2024/07/20,41.362738,-120.257333
Trinity River Stuart Fork,Trinity,Trout,2024/07/14,2024/07/20,40.8588600158691,-122.89318848
Packer Lake,Sierra,Trout,2024/07/14,2024/07/20,39.622637,-120.655697
Hatchet Creek,Shasta,Trout,2024/07/14,2024/07/20,40.8606224060059,-121.84895325
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/07/14,2024/07/20,36.7976875305176,-119.39915466
South Lake,Inyo,Trout,2024/07/14,2024/07/20,37.165414,-118.570347
"Twin Lake Lower, Bridgeport",Mono,Trout,2024/07/21,2024/07/27,38.162557,-119.336401
Stanislaus River Middle Fork,Tuolumne,Trout,2024/07/21,2024/07/27,38.3434562683105,-119.83426666
Carson River West Fork,Alpine,Trout,2024/07/21,2024/07/27,38.7691383361816,-119.83604431
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/07/21,2024/07/27,36.7976875305176,-119.39915466
Iron Canyon Reservoir,Shasta,Trout,2024/07/21,2024/07/27,41.050043,-121.983054
Lake Alpine,Alpine,Trout,2024/07/21,2024/07/27,38.476208,-119.999359
Bishop Creek Lower,Inyo,Trout,2024/07/21,2024/07/27,37.3688125610352,-118.40048218
Santa Ana River South Fork,San Bernardino,Trout,2024/07/21,2024/07/27,34.1685600280762,-116.83167267
South Lake,Inyo,Trout,2024/07/21,2024/07/27,37.165414,-118.570347
"Rock Creek, Section 2",Mono,Trout,2024/07/21,2024/07/27,37.5425987243652,-118.69241333
Tamarack Creek,Fresno,Trout,2024/07/21,2024/07/27,37.194263458252,-119.19861603
Convict Creek,Mono,Trout,2024/07/21,2024/07/27,37.5989952087402,-118.8489151
Hat Creek Middle,Shasta,Trout,2024/07/21,2024/07/27,40.9227409362793,-121.54640198
Little Walker River,Mono,Trout,2024/07/21,2024/07/27,38.3639373779297,-119.4446106
Mono Creek,Fresno,Trout,2024/07/21,2024/07/27,37.3606567382812,-118.99082184
Lyons Canal (Columbia Ditch),Tuolumne,Trout,2024/07/21,2024/07/27,38.0534973144531,-120.24224091
"West Walker River, Section 3",Mono,Trout,2024/07/21,2024/07/27,38.3638801574707,-119.49225616
"West Walker River, Section 2",Mono,Trout,2024/07/21,2024/07/27,38.5385437011719,-119.49241638
Sacramento River,Shasta,Trout,2024/07/21,2024/07/27,41.1420097351074,-122.31331635
Rock Creek Lake,Inyo,Trout,2024/07/21,2024/07/27,37.452491,-118.737183
Portal Forebay,Fresno,Trout,2024/07/21,2024/07/27,37.318818,-119.069351
American River Silver Fork,El Dorado,Trout,2024/07/21,2024/07/27,38.7401657104492,-120.2562561
Courtright Reservoir,Fresno,Trout,2024/07/21,2024/07/27,37.102917,-118.975406
